




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (5801)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K9ac_k562.intersect_with_DeepZ.genes_uniq.txt (FDR)
cellular metabolic process (GO:0044237)	7542	3083	2124.36	+	1.45	4.90E-112	7.75E-108
nitrogen compound metabolic process (GO:0006807)	6886	2819	1939.58	+	1.45	5.16E-97	4.08E-93
primary metabolic process (GO:0044238)	7352	2957	2070.84	+	1.43	1.05E-96	5.51E-93
metabolic process (GO:0008152)	8313	3229	2341.53	+	1.38	6.78E-95	2.68E-91
macromolecule metabolic process (GO:0043170)	6151	2559	1732.55	+	1.48	1.89E-89	5.97E-86
organic substance metabolic process (GO:0071704)	7840	3060	2208.30	+	1.39	1.91E-88	5.03E-85
cellular macromolecule metabolic process (GO:0044260)	4909	2136	1382.72	+	1.54	7.09E-83	1.60E-79
cellular nitrogen compound metabolic process (GO:0034641)	3395	1623	956.27	+	1.70	8.76E-81	1.73E-77
nucleic acid metabolic process (GO:0090304)	2217	1177	624.46	+	1.88	1.27E-74	2.01E-71
nucleobase-containing compound metabolic process (GO:0006139)	2705	1354	761.92	+	1.78	1.22E-74	2.13E-71
heterocycle metabolic process (GO:0046483)	2891	1410	814.31	+	1.73	1.82E-72	2.61E-69
cellular aromatic compound metabolic process (GO:0006725)	2937	1411	827.27	+	1.71	3.79E-69	4.99E-66
organic cyclic compound metabolic process (GO:1901360)	3182	1475	896.27	+	1.65	7.14E-65	8.68E-62
gene expression (GO:0010467)	2117	1066	596.30	+	1.79	1.01E-57	1.14E-54
RNA metabolic process (GO:0016070)	1582	867	445.60	+	1.95	1.21E-57	1.28E-54
cellular protein metabolic process (GO:0044267)	3590	1532	1011.20	+	1.52	6.75E-50	6.67E-47
G protein-coupled receptor signaling pathway (GO:0007186)	1305	110	367.58	-	.30	6.97E-49	6.48E-46
organelle organization (GO:0006996)	3567	1518	1004.72	+	1.51	8.27E-49	7.27E-46
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	3	136.89	-	.02	4.21E-48	3.50E-45
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	1	124.22	-	 < 0.01	2.33E-46	1.84E-43
detection of chemical stimulus (GO:0009593)	522	8	147.03	-	.05	1.83E-45	1.38E-42
cellular macromolecule biosynthetic process (GO:0034645)	1639	829	461.66	+	1.80	2.19E-44	1.58E-41
organic substance biosynthetic process (GO:1901576)	2803	1233	789.52	+	1.56	1.51E-43	1.04E-40
cellular component organization or biogenesis (GO:0071840)	6006	2252	1691.71	+	1.33	1.67E-43	1.10E-40
cellular biosynthetic process (GO:0044249)	2715	1203	764.73	+	1.57	1.88E-43	1.19E-40
biosynthetic process (GO:0009058)	2865	1252	806.99	+	1.55	3.14E-43	1.91E-40
RNA processing (GO:0006396)	930	552	261.95	+	2.11	5.14E-43	3.01E-40
macromolecule biosynthetic process (GO:0009059)	1680	836	473.21	+	1.77	1.07E-42	6.02E-40
sensory perception of chemical stimulus (GO:0007606)	543	13	152.95	-	.08	2.61E-42	1.42E-39
detection of stimulus involved in sensory perception (GO:0050906)	557	15	156.89	-	.10	1.04E-41	5.49E-39
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	782	437.43	+	1.79	4.05E-41	2.06E-38
sensory perception of smell (GO:0007608)	468	7	131.82	-	.05	5.10E-41	2.52E-38
organonitrogen compound metabolic process (GO:1901564)	5246	1984	1477.64	+	1.34	2.07E-38	9.93E-36
protein metabolic process (GO:0019538)	4203	1657	1183.86	+	1.40	3.15E-38	1.46E-35
cellular component biogenesis (GO:0044085)	2754	1178	775.72	+	1.52	5.84E-37	2.64E-34
cellular process (GO:0009987)	15495	4803	4364.48	+	1.10	4.61E-35	2.02E-32
detection of stimulus (GO:0051606)	721	46	203.08	-	.23	9.01E-35	3.85E-32
mRNA metabolic process (GO:0016071)	697	420	196.32	+	2.14	1.08E-33	4.49E-31
cellular component organization (GO:0016043)	5783	2105	1628.90	+	1.29	1.12E-32	4.53E-30
macromolecule modification (GO:0043412)	3211	1298	904.44	+	1.44	2.95E-32	1.16E-29
regulation of cellular metabolic process (GO:0031323)	6138	2199	1728.89	+	1.27	4.48E-31	1.73E-28
intracellular transport (GO:0046907)	1464	698	412.37	+	1.69	6.14E-31	2.31E-28
cellular macromolecule catabolic process (GO:0044265)	925	493	260.55	+	1.89	7.51E-30	2.76E-27
ribonucleoprotein complex biogenesis (GO:0022613)	462	305	130.13	+	2.34	1.92E-29	6.88E-27
sensory perception (GO:0007600)	979	100	275.76	-	.36	3.44E-29	1.21E-26
macromolecule catabolic process (GO:0009057)	1058	539	298.01	+	1.81	6.49E-29	2.23E-26
system process (GO:0003008)	2057	318	579.40	-	.55	9.63E-29	3.24E-26
protein-containing complex subunit organization (GO:0043933)	1605	735	452.08	+	1.63	1.34E-28	4.40E-26
regulation of metabolic process (GO:0019222)	6874	2392	1936.20	+	1.24	4.99E-28	1.61E-25
ncRNA metabolic process (GO:0034660)	521	324	146.75	+	2.21	7.69E-28	2.43E-25
regulation of primary metabolic process (GO:0080090)	5925	2106	1668.90	+	1.26	1.34E-27	4.15E-25
regulation of nitrogen compound metabolic process (GO:0051171)	5740	2045	1616.79	+	1.26	5.60E-27	1.70E-24
protein localization (GO:0008104)	2063	879	581.09	+	1.51	2.37E-26	7.07E-24
nervous system process (GO:0050877)	1416	193	398.85	-	.48	2.75E-26	8.05E-24
ncRNA processing (GO:0034470)	436	282	122.81	+	2.30	2.97E-26	8.53E-24
protein modification process (GO:0036211)	2985	1182	840.79	+	1.41	3.47E-26	9.45E-24
cellular localization (GO:0051641)	2985	1182	840.79	+	1.41	3.47E-26	9.62E-24
cellular protein modification process (GO:0006464)	2985	1182	840.79	+	1.41	3.47E-26	9.79E-24
